연번,속성(nlon:),속성 유형,범주,BIBFRAME 2.0 대응(안),판정,판정 근거
1,contain,객체 속성,자원 간 관계,bf:hasPart,동등,부분-전체 관계 직접 대응
2,containedIn,객체 속성,자원 간 관계,bf:partOf,동등,부분-전체 관계 직접 대응
3,hasSupplement,객체 속성,자원 간 관계,bf:supplement,동등,보유판 직접 대응
4,issuedWith,객체 속성,자원 간 관계,bf:issuedWith,동등,직접 대응
5,preceding,객체 속성,자원 간 관계,bf:precededBy,동등,선행저록 직접 대응
6,series,객체 속성,자원 간 관계,bf:hasSeries,동등,총서 관계 직접 대응
7,subSeries,객체 속성,자원 간 관계,bf:hasSubseries,동등,하위총서 직접 대응
8,succeeding,객체 속성,자원 간 관계,bf:succeededBy,동등,후속저록 직접 대응
9,supplementTo,객체 속성,자원 간 관계,bf:supplementTo,동등,직접 대응
10,translatedAs,객체 속성,자원 간 관계,bf:translation,동등,"번역 관계 직접 대응(단, Work 계층 부재로 실효성 제약)"
11,hasIssue,객체 속성,자원 간 관계,bf:hasPart + 권호 개체,부분 정렬,권호를 부분 저작으로 재해석 필요
12,isSubjectOf,객체 속성,자원 간 관계,"bf:subjectOf 부재, bf:subject 역관계",부분 정렬,역관계 재구성
13,mainSeries,객체 속성,자원 간 관계,bf:hasSeries(역방향 조합),부분 정렬,상위 대응
14,typeOfData,객체 속성,유형·형식·주제,bf:content(bf:Content),부분 정렬,내용 유형으로 재배치
15,typeOfResource,객체 속성,유형·형식·주제,bf:media / bf:carrier,부분 정렬,매체·수록매체 축으로 분해 필요
16,typeOfContinuousData,객체 속성,연속간행물,bf:genreForm,부분 정렬,코드 리스트의 개념 재배치
17,typeOfPublicationFrequency,객체 속성,연속간행물,bf:frequency(bf:Frequency),부분 정렬,승격 매핑
18,typeOfPublicationStatus,객체 속성,연속간행물,bflc 확장 필요,부분 정렬,코어 대응 부재
19,ddcn,객체 속성,분류·청구기호,bf:classification(bf:ClassificationDdc),부분 정렬,"치역이 skos:Concept, 승격 필요"
20,kdcn,객체 속성,분류·청구기호,대응 부재(bf:ClassificationKdc 미존재),매핑 불가,어휘 간극: KDC
21,relatedEvent,객체 속성,전거,madsrdf 전거 관계,부분 정렬,동일
22,relatedOrganization,객체 속성,전거,madsrdf 전거 관계,부분 정렬,동일
23,relatedPerson,객체 속성,전거,madsrdf 전거 관계,부분 정렬,"BF 코어 밖, MADS/RDF 병용 필요"
24,relatedPlace,객체 속성,전거,madsrdf 전거 관계,부분 정렬,동일
25,confirmedBy,객체 속성,관리 메타데이터,bf:adminMetadata + bf:AdminMetadata(bf:descriptionModifier),부분 정렬,개체화 수반: 자원 직접 부착이 아닌 AdminMetadata 개체 경유
26,inputedBy,객체 속성,관리 메타데이터,bf:adminMetadata + bf:AdminMetadata(bf:descriptionModifier/bf:assigner),부분 정렬,개체화 수반: 자원 직접 부착이 아닌 AdminMetadata 개체 경유
27,managedBy,객체 속성,관리 메타데이터,bf:adminMetadata + bf:AdminMetadata(bf:source/bf:assigner),부분 정렬,개체화 수반: 자원 직접 부착이 아닌 AdminMetadata 개체 경유
28,modifiedBy,객체 속성,관리 메타데이터,bf:adminMetadata + bf:AdminMetadata(bf:descriptionModifier),부분 정렬,개체화 수반: 자원 직접 부착이 아닌 AdminMetadata 개체 경유
29,awardedFrom,객체 속성,기타 기술 요소,bf:dissertation(bf:Dissertation/grantingInstitution),부분 정렬,학위 개체 승격
30,create,객체 속성,기타 기술 요소,bf:contribution + bf:Contribution,부분 정렬,속성-개체 승격 및 역할 분리 필요
31,isGeographicAreaOf,객체 속성,기타 기술 요소,bf:geographicCoverage(역),부분 정렬,역관계 재구성
32,municipalLevel,객체 속성,기타 기술 요소,대응 부재,매핑 불가,"행정구역 수준, 서지 범위 외"
33,provincialLevel,객체 속성,기타 기술 요소,대응 부재,매핑 불가,동일
